,0
12th Ave & E Denny Way,5071
12th Ave & E Mercer St,8741
12th Ave & E Yesler Way,1826
12th Ave & NE Campus Pkwy,8437
15th Ave E & E Thomas St,10071
15th Ave NE & NE 40th St,5953
1st Ave & Marion St,14339
2nd Ave & Blanchard St,12637
2nd Ave & Pine St,23833
2nd Ave & Spring St,14003
2nd Ave & Vine St,14625
3rd Ave & Broad St,21671
6th Ave & Blanchard St,8750
6th Ave S & S King St,7344
7th Ave & Union St,12823
8D OPS 02,4
9th Ave N & Mercer St,12129
Bellevue Ave & E Pine St,9549
Broadway and E Denny Way,1930
Burke Museum / E Stevens Way NE & Memorial Way NE,3415
Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,8093
Cal Anderson Park / 11th Ave & Pine St,15664
Children's Hospital / Sandpoint Way NE & 40th Ave NE,3210
City Hall / 4th Ave & James St,7591
Dexter Ave & Denny Way,8074
Dexter Ave N & Aloha St,14434
E Blaine St & Fairview Ave E,13021
E Harrison St & Broadway Ave E,15486
E Pine St & 16th Ave,14800
Eastlake Ave E & E Allison St,8359
Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,7641
Frye Art Museum / Terry Ave & Columbia St,4552
Harvard Ave & E Pine St,9441
Key Arena / 1st Ave N & Harrison St,15553
King Street Station Plaza / 2nd Ave Extension S & S Jackson St,10612
Lake Union Park / Valley St & Boren Ave N,11786
Mercer St & 9th Ave N,2010
NE 42nd St & University Way NE,2898
NE 47th St & 12th Ave NE,4361
NE Pacific St/UW Medical Center,2101
Occidental Park / Occidental Ave S & S Washington St,15231
PATH / 9th Ave & Westlake Ave,17838
Pier 66 / Alaskan Way & Bell St,327
Pier 69 / Alaskan Way & Clay St,26790
Pine St & 9th Ave,15174
Pronto shop,17
Pronto shop 2,7
REI / Yale Ave N & John St,17053
Republican St & Westlake Ave N,14978
Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,15288
Seattle University / E Columbia St & 12th Ave,7153
Summit Ave & E Denny Way,10686
Summit Ave E & E Republican St,10193
Terry Ave & Stewart St,4283
Thomas St & 5th Ave N,1490
UW Engineering Library / E Stevens Way NE & Jefferson Rd,5254
UW Intramural Activities Building,3898
UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,3354
UW McCarty Hall / Whitman Ct,1396
Union St & 4th Ave,5512
Westlake Ave & 6th Ave,20956
