Month-Year,Number of Tractor Sold,Moving Average,CMA
Jan-03,141,,
Feb-03,157,,
Mar-03,185,,
Apr-03,199,,
May-03,203,,
Jun-03,189,176.00,
Jul-03,207,176.33,176.17
Aug-03,207,177.25,176.79
Sep-03,171,178.25,177.75
Oct-03,150,179.00,178.63
Nov-03,138,179.58,179.29
Dec-03,165,181.25,180.42
Jan-04,145,183.83,182.54
Feb-04,168,186.42,185.13
Mar-04,197,188.75,187.58
Apr-04,208,190.25,189.50
May-04,210,191.42,190.83
Jun-04,209,194.00,192.71
Jul-04,238,197.17,195.58
Aug-04,238,199.83,198.50
Sep-04,199,204.17,202.00
Oct-04,168,207.75,205.96
Nov-04,152,214.33,211.04
Dec-04,196,217.67,216.00
Jan-05,183,221.08,219.38
Feb-05,200,224.50,222.79
Mar-05,249,227.25,225.88
Apr-05,251,230.25,228.75
May-05,289,233.75,232.00
Jun-05,249,236.75,235.25
Jul-05,279,239.42,238.08
Aug-05,279,242.67,241.04
Sep-05,232,244.42,243.54
Oct-05,204,246.75,245.58
Nov-05,194,248.25,247.50
Dec-05,232,252.92,250.58
Jan-06,215,256.50,254.71
Feb-06,239,261.50,259.00
Mar-06,270,264.08,262.79
Apr-06,279,267.17,265.63
May-06,307,270.08,268.63
Jun-06,305,273.42,271.75
Jul-06,322,276.08,274.75
Aug-06,339,277.92,277.00
Sep-06,263,282.92,280.42
Oct-06,241,289.83,286.38
Nov-06,229,296.33,293.08
Dec-06,272,299.25,297.79
Jan-07,247,303.25,301.25
Feb-07,261,306.75,305.00
Mar-07,330,309.75,308.25
Apr-07,362,311.83,310.79
May-07,385,312.67,312.25
Jun-07,340,313.42,313.04
Jul-07,370,314.25,313.83
Aug-07,381,313.33,313.79
Sep-07,299,313.25,313.29
Oct-07,266,312.25,312.75
Nov-07,239,312.92,312.58
Dec-07,281,315.42,314.17
Jan-08,257,319.83,317.63
Feb-08,250,322.25,321.04
Mar-08,329,324.50,323.38
Apr-08,350,326.42,325.46
May-08,393,329.00,327.71
Jun-08,370,332.33,330.67
Jul-08,423,336.33,334.33
Aug-08,410,341.33,338.83
Sep-08,326,345.08,343.21
Oct-08,289,350.42,347.75
Nov-08,270,355.50,352.96
Dec-08,321,361.42,358.46
Jan-09,305,368.67,365.04
Feb-09,310,375.00,371.83
Mar-09,374,380.58,377.79
Apr-09,414,385.25,382.92
May-09,454,389.00,387.13
Jun-09,441,394.67,391.83
Jul-09,510,399.08,396.88
Aug-09,486,403.92,401.50
Sep-09,393,409.75,406.83
Oct-09,345,415.42,412.58
Nov-09,315,422.08,418.75
Dec-09,389,429.00,425.54
Jan-10,358,434.67,431.83
Feb-10,368,441.42,438.04
Mar-10,444,445.92,443.67
Apr-10,482,449.33,447.63
May-10,534,453.08,451.21
Jun-10,524,456.33,454.71
Jul-10,578,459.58,457.96
Aug-10,567,462.25,460.92
Sep-10,447,466.75,464.50
Oct-10,386,471.25,469.00
Nov-10,360,476.42,473.83
Dec-10,428,482.00,479.21
Jan-11,397,488.08,485.04
Feb-11,400,495.33,491.71
Mar-11,498,500.50,497.92
Apr-11,536,504.75,502.63
May-11,596,508.58,506.67
Jun-11,591,512.08,510.33
Jul-11,651,514.67,513.38
Aug-11,654,516.58,515.63
Sep-11,509,517.33,516.96
Oct-11,437,517.33,517.33
Nov-11,406,518.50,517.92
Dec-11,470,520.00,519.25
Jan-12,428,523.00,521.50
Feb-12,423,527.42,525.21
Mar-12,507,527.42,527.42
Apr-12,536,528.67,528.04
May-12,610,529.17,528.92
Jun-12,609,529.33,529.25
Jul-12,687,531.50,530.42
Aug-12,707,534.17,532.83
Sep-12,509,539.25,536.71
Oct-12,452,545.42,542.33
Nov-12,412,553.42,549.42
Dec-12,472,557.75,555.58
Jan-13,454,564.42,561.08
Feb-13,455,570.75,567.58
Mar-13,568,576.92,573.83
Apr-13,610,582.00,579.46
May-13,706,587.75,584.88
Jun-13,661,595.67,591.71
Jul-13,767,601.58,598.63
Aug-13,783,607.00,604.29
Sep-13,583,608.58,607.79
Oct-13,513,616.92,612.75
Nov-13,481,624.17,620.54
Dec-13,567,631.50,627.83
Jan-14,525,640.17,635.83
Feb-14,520,645.58,642.88
Mar-14,587,650.33,647.96
Apr-14,710,656.00,653.17
May-14,793,659.17,657.58
Jun-14,749,662.33,660.75
Jul-14,871,,
Aug-14,848,,
Sep-14,640,,
Oct-14,581,,
Nov-14,519,,
Dec-14,605,,
