,station_id,name
0,BT-01,3rd Ave & Broad St
1,BT-03,2nd Ave & Vine St
2,BT-04,6th Ave & Blanchard St
3,BT-05,2nd Ave & Blanchard St
4,CBD-03,7th Ave & Union St
5,CBD-04,Union St & 4th Ave
6,CBD-05,1st Ave & Marion St
7,CBD-06,2nd Ave & Spring St
8,CBD-07,City Hall / 4th Ave & James St
9,CBD-13,2nd Ave & Pine St
11,CH-01,Summit Ave & E Denny Way
12,CH-02,E Harrison St & Broadway Ave E
13,CH-03,Summit Ave E & E Republican St
14,CH-05,15th Ave E & E Thomas St
15,CH-06,12th Ave & E Denny Way
16,CH-07,E Pine St & 16th Ave
17,CH-08,Cal Anderson Park / 11th Ave & Pine St
18,CH-09,Harvard Ave & E Pine St
19,CH-12,Bellevue Ave & E Pine St
20,CH-15,12th Ave & E Mercer St
21,DPD-01,9th Ave N & Mercer St
22,DPD-03,Children's Hospital / Sandpoint Way NE & 40th Ave NE
23,EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St
24,EL-03,E Blaine St & Fairview Ave E
25,EL-05,Eastlake Ave E & E Allison St
27,FH-04,Seattle University / E Columbia St & 12th Ave
28,ID-04,6th Ave S & S King St
29,PS-04,Occidental Park / Occidental Ave S & S Washington St
30,PS-05,King Street Station Plaza / 2nd Ave Extension S & S Jackson St
31,SLU-01,REI / Yale Ave N & John St
32,SLU-02,Dexter Ave N & Aloha St
33,SLU-04,Republican St & Westlake Ave N
34,SLU-07,PATH / 9th Ave & Westlake Ave
35,SLU-15,Westlake Ave & 6th Ave
36,SLU-16,Pine St & 9th Ave
37,SLU-17,Lake Union Park / Valley St & Boren Ave N
39,SLU-19,Key Arena / 1st Ave N & Harrison St
40,SLU-20,Terry Ave & Stewart St
41,SLU-21,Mercer St & 9th Ave N
42,UD-01,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE
43,UD-02,NE 42nd St & University Way NE
44,UD-04,12th Ave & NE Campus Pkwy
45,UD-07,NE 47th St & 12th Ave NE
47,UW-02,Burke Museum / E Stevens Way NE & Memorial Way NE
48,UW-04,15th Ave NE & NE 40th St
49,UW-06,UW Engineering Library / E Stevens Way NE & Jefferson Rd
50,UW-07,UW Intramural Activities Building
51,UW-10,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd
52,WF-01,Pier 69 / Alaskan Way & Clay St
53,WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail
54,CH-16,Broadway and E Denny Way
55,SLU-22,Thomas St & 5th Ave N
56,UW-11,NE Pacific St/UW Medical Center
57,WF-03,Pier 66 / Alaskan Way & Bell St
